FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Callum,Robinson,MID,SHU,5300000,1,24,2.7,5.09433962264151E-07,4.52830188679245E-06,0,74483,0,5,0,0,0,1,0,4.5,2184,-2,0,24,2,0.2,0,1.2,1,0,2,0,1,0.5,46426,0,-1,0,1,537,381,0,0,41,Burnley,Tottenham,Man Utd,Wolverhampton,Newcastle,2.5,1.8,2.3,2.8,2.7,1.9,2.1,2.4,2.7,1.5,1.8,1.9,2.2,1.4,2.1,2.6,2.5,1.7,2.4,2.5,1.8,2.1,2.2,2.4,1.7,1.6,2.5,3
,Rodrigo,MID,MCI,5500000,0,25,2.8,5.09090909090909E-07,4.54545454545455E-06,0,144132,2,8,0,0,0,1,0,4.5,13680,0,0,25,0,0.2,0,1.2,1,0,4,0,0,1.2,109937,0,-1,0,0,739,82,0,0,161,Southampton,Liverpool,Chelsea,Newcastle,Burnley,0,0,1.8,2.6,2.3,2.5,2.3,1.9,2.9,3,2.7,1.7,2.6,3.6,1.8,2.1,1.6,2.6,1.9,2.7,1.8,1.6,3.1,2.9,2.5,2.8,2.7,2.6
Jay,Rodriguez,FWD,BUR,5700000,6,19,1.9,3.33333333333333E-07,3.33333333333333E-06,0,24567,1,10,0,0,0,2,0,3.3,471,-3,0,19,3,0.6,0,3.2,0,0,0,0,0,0.2,8925,0,-1,0,0,333,2003,0,0,70,Sheffield United,West Ham,Watford,Crystal Palace,Man City,1,1.7,1.2,1.8,1.5,1.3,1.6,1.1,1,2.1,1.9,1.2,1.6,1.1,1.8,1.9,1.6,1,2.2,1.2,2,1,1,1.1,1.1,1.3,1.5,1.7
Marcos,Rojo,DEF,MUN,4800000,0,2,0.2,4.16666666666667E-08,4.16666666666667E-07,0,7636,1,2,0,0,0,0,0,0.4,328,-2,0,2,2,0.1,0,0.5,0,0,0,0,0,0.2,3216,0,-1,0,0,120,314,0,0,6,Bournemouth,Brighton,Sheffield United,Aston Villa,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sergio,Romero,GLK,MUN,4800000,0,0,0,0,0,0,8450,0,0,0,0,0,0,0,0,549,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,4102,0,-1,0,0,0,72,0,0,0,Bournemouth,Brighton,Sheffield United,Aston Villa,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny,Rose,DEF,TOT,5400000,0,13,1.4,2.59259259259259E-07,2.40740740740741E-06,0,149796,5,12,0,0,0,0,0,2.4,12406,-1,0,13,1,0.1,0,0.8,0,0,1,0,0,1.9,88932,0,-1,0,0,792,637,0,0,121,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,0,0.9,0.7,0.7,0.7,0.9,0.7,0.9,0.9,0.7,0.9,0.9,0.7,1.2,0.7,0.7,0.7,0.8,0.7,1.3,1.2,0.8,1.6,0.7,1,0.9,1.1,0.7
John,Ruddy,GLK,WOL,4400000,0,0,0,0,0,0,13494,0,0,0,0,0,0,0,0,357,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,4422,0,-1,0,0,0,128,0,0,0,Arsenal,Aston Villa,Bournemouth,Sheffield United,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio,Rudiger,DEF,CHE,6000000,0,1,0.1,1.66666666666667E-08,1.66666666666667E-07,0,7190,0,0,0,0,0,0,0,0.2,170,0,0,1,0,0,0,0,0,0,0,0,0,0.1,3186,0,-1,0,0,45,38,0,0,9,Watford,Crystal Palace,Man City,West Ham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathew,Ryan,GLK,BHA,4700000,4,42,4.2,8.93617021276596E-07,8.93617021276596E-06,0,370695,0,14,0,35,0,0,0,8.9,9908,2,0,42,-2,1,0,4.5,8,0,3,0,0,15.6,583443,0,-1,0,0,900,17664,0,0,226,Norwich,Man Utd,Leicester,Liverpool,Arsenal,5.5,3.9,5.3,4.3,3.5,4.6,4.3,4.9,4.3,4.1,4.9,4.7,6.3,3.2,4.6,5.8,4.8,5.9,4,5,3.7,5.8,3.7,4.8,4.1,5.1,6.2,3.2
Allan,Saint-Maximin,MID,NEW,5400000,2,10,1,1.85185185185185E-07,1.85185185185185E-06,0,39757,0,2,0,0,0,0,0,1.9,852,-1,0,10,1,0.3,0,1.8,0,0,1,0,0,0.3,19031,0,-1,0,0,311,1616,0,0,37,West Ham,Bournemouth,Aston Villa,Man City,Sheffield United,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
