FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Gylfi,Sigurdsson,MID,EVE,7500000,2,28,2.8,3.73333333333333E-07,3.73333333333333E-06,0,711261,0,12,0,0,0,1,0,3.7,9220,-5,0,28,5,0.4,0,2.8,0,0,2,0,1,3.4,99428,0,-1,0,0,690,1296,0,0,121,Tottenham,Southampton,Norwich,Leicester,Liverpool,2.8,2.5,3.1,1.4,1.4,2.3,1.4,3.1,3.2,1.9,1.4,3.2,1.4,3.4,2,3.1,1.6,3.1,1.4,2.1,1.4,2.4,1.4,2.6,2.2,2.8,2.9,3.3
Jack,Simpson,DEF,BOU,4000000,0,0,0,0,0,0,229410,0,0,0,0,0,0,0,0,7941,0,0,0,0,0,0,0,0,0,0,0,0,6.6,136634,0,-1,0,0,0,4146,0,0,0,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moussa,Sissoko,MID,TOT,4900000,1,22,2.2,4.48979591836735E-07,4.48979591836735E-06,0,163244,3,13,0,0,0,0,0,4.5,5157,-1,0,22,1,0.3,0,1.5,0,0,2,0,1,1.9,139460,0,-1,0,0,876,2314,0,0,121,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,1.1,2.5,1.1,2.3,1.1,2.2,1.6,1.5,2.2,1.1,1.8,1.3,1.5,2.1,1.1,1.1,1.1,2.1,1.2,2.1,1.7,2.2,2.2,1.6,2.1,1.4,1.6,1.1
Oliver,Skipp,MID,TOT,4400000,0,2,0.2,4.54545454545455E-08,4.54545454545455E-07,0,25064,0,0,0,0,0,0,0,0.5,914,-1,0,2,1,0,0,0,0,0,0,0,0,0.5,18617,0,-1,0,0,2,769,0,0,6,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Callum,Slattery,MID,SOU,4400000,0,0,0,0,0,0,16570,0,0,0,0,0,0,0,0,1193,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,24879,0,-1,0,0,0,882,0,0,0,Man City,Everton,Arsenal,Watford,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Smalling,DEF,MUN,5300000,0,0,0,0,0,0,15506,0,0,0,0,0,0,0,0,113,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1527,0,-1,0,0,0,24,0,0,0,Bournemouth,Brighton,Sheffield United,Aston Villa,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert,Snodgrass,MID,WHU,5200000,9,13,1.3,2.5E-07,2.5E-06,0,12425,1,5,0,0,0,1,0,2.5,185,-3,0,13,3,0.4,0,2.2,2,0,0,0,0,0.2,3356,0,-1,0,0,229,762,0,0,43,Newcastle,Burnley,Tottenham,Chelsea,Wolverhampton,1,0.6,0.7,0.6,0.7,0.9,0.9,0,0.6,0.6,0.9,1.1,0.9,0.6,0.9,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.9,0.6,1,0.6,0.7
,Sokratis,DEF,ARS,5000000,7,29,2.9,5.8E-07,5.8E-06,0,91505,2,14,0,0,0,1,0,5.8,2472,0,0,29,0,0.8,0,4,2,0,2,0,0,1.9,88076,0,-1,0,0,900,7051,0,0,161,Wolverhampton,Leicester,Southampton,Norwich,Brighton,2.7,2,2.6,1.9,2.9,2.6,2.4,2.6,1.7,2.9,3.6,2.4,2.9,2,1.6,4.1,4.2,2,3.5,1.9,2.9,3.4,2.2,3.2,2.3,2.8,2.6,3.6
Dominic,Solanke,FWD,BOU,5400000,1,15,1.5,2.77777777777778E-07,2.77777777777778E-06,0,34419,0,6,0,0,0,0,0,2.8,1238,-1,0,15,1,0.3,0,1.8,0,0,1,0,0,0.4,21791,0,-1,0,0,457,509,0,0,20,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,1.4,0.8,0.8,1,0.8,0.9,0.9,1.2,1.2,0.8,0.8,1.3,1.2,1.1,1.3,0.8,0.8,1.2,0.8,1.1,0.8,1,0.8,1.4,1,1,1.1,0.8
Heung-Min,Son,MID,TOT,9600000,5,41,5.1,5.3125E-07,4.27083333333333E-06,0,601666,0,11,0,0,0,2,0,4.2,44608,1,1,41,-1,0.3,0,3.2,3,0,1,0,4,8.2,1007551,0,-1,0,1,618,14511,-1,0,120,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,4.2,7,4.3,7.3,4,7.1,5.8,5.6,7.1,4.2,6.3,5.1,5.5,7,4.2,3.6,3.8,6.9,4.7,6.8,6.2,6.5,7.2,5.8,7,5.3,5.8,4.5
Caglar,Soyuncu,DEF,LEI,4700000,6,33,3.3,7.02127659574468E-07,7.02127659574468E-06,0,165307,1,8,0,0,0,0,0,7,9294,2,0,33,-2,0.7,0,3.5,0,0,3,0,1,8.2,671370,0,-1,0,0,900,37889,0,0,206,Crystal Palace,Arsenal,Brighton,Everton,Watford,2.9,3.7,2.3,4.9,4.3,3.1,4.1,2.5,3.4,3.1,3.6,3.2,2,4.2,3.5,2.6,2.9,2.4,4.7,3.1,3.5,3.2,4.4,2.3,2.1,3.5,2.8,4.3
Dennis,Srbeny,FWD,NOR,5300000,0,4,0.4,7.54716981132075E-08,7.54716981132075E-07,0,5878,0,1,0,0,0,0,0,0.8,131,-2,0,4,2,0.1,0,0.5,0,0,0,0,0,0,3394,0,-1,0,0,21,65,0,0,18,Brighton,Watford,Everton,Arsenal,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jack,Stacey,DEF,BOU,4300000,0,5,0.5,1.16279069767442E-07,1.16279069767442E-06,0,6185,2,5,0,0,0,0,0,1.1,144,-2,1,5,2,0.1,0,0.5,0,0,0,0,0,0.1,1977,0,-1,0,0,346,27,-1,0,40,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Junior,Stanislas,MID,BOU,5900000,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,153,0,-1,0,0,0,5,0,0,0,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard,Stearman,DEF,SHU,4000000,0,0,0,0,0,0,83020,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,0,0,0,0,2.6,68732,0,-1,0,0,0,1686,0,0,0,Burnley,Tottenham,Man Utd,Wolverhampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jed,Steer,GLK,AVL,4400000,0,0,0,0,0,0,4182,0,0,0,0,0,0,0,0,105,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,838,0,-1,0,0,0,20,0,0,0,Liverpool,Wolverhampton,Newcastle,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maarten,Stekelenburg,GLK,EVE,4000000,0,0,0,0,0,0,122838,0,0,0,0,0,0,0,0,4117,0,0,0,0,0,0,0,0,0,0,0,0,8.9,160966,0,-1,0,0,0,1653,0,0,0,Tottenham,Southampton,Norwich,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale,Stephens,MID,BHA,4500000,1,21,2.1,4.66666666666667E-07,4.66666666666667E-06,0,152474,2,13,0,0,0,0,0,4.7,6390,0,0,21,0,0.4,0,1.8,0,0,3,0,0,2.8,134740,0,-1,0,0,886,2369,0,0,145,Norwich,Man Utd,Leicester,Liverpool,Arsenal,1.9,1,1.4,1,1.2,1.9,1.1,2.2,1,2,1.3,1,1.7,1.6,1.1,2.1,2.2,1.9,1.6,1.9,1,1.8,1,1.1,1,1.8,2.1,1.2
Jack,Stephens,DEF,SOU,4300000,-1,0,0,0,0,0,4962,0,6,0,0,0,0,0,0,161,-2,0,0,2,0,0,-0.2,0,0,0,0,0,0.1,1241,0,-1,0,0,117,51,0,0,17,Man City,Everton,Arsenal,Watford,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem,Sterling,MID,MCI,12100000,11,64,7.1,5.86776859504132E-07,5.28925619834711E-06,0,1096695,3,9,0,0,0,7,0,5.3,18724,1,0,64,-1,0.5,0,6.2,7,0,4,0,1,39,1486332,0,-1,0,2,790,70000,0,0,223,Southampton,Liverpool,Chelsea,Newcastle,Burnley,8.3,8,7.9,9.1,8.9,9.6,9,8.2,9.8,8.8,10.1,7.5,9.7,10.1,7.8,8.6,7.2,9.8,8,9.9,7.7,7.1,10.6,9.9,9.3,9.4,9.3,9.8
,Steve Cook,DEF,BOU,5000000,6,27,2.7,5.4E-07,5.4E-06,0,11756,1,13,0,0,0,0,0,5.4,980,0,0,27,0,0.8,0,4.2,3,0,2,0,0,0.3,15456,0,-1,0,1,900,1980,0,0,160,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,3.1,2.9,2.2,2.3,2.3,2.4,2,2.4,2.5,1.8,2.5,3.1,1.9,2.4,3.5,2.6,1.6,2.4,2.3,3.1,2.1,3.6,2,3.1,2.7,2,2.1,2.6
Enda,Stevens,DEF,SHU,5000000,4,43,4.3,8.6E-07,8.6E-06,0,26849,1,8,0,0,0,0,0,8.6,2488,0,0,43,0,0.9,0,4.5,4,0,4,0,2,1.5,93911,0,-1,0,1,900,35509,0,0,201,Burnley,Tottenham,Man Utd,Wolverhampton,Newcastle,4.3,5,5.5,4.8,5.9,4.4,6.1,4.3,5.5,4.6,5.1,5.3,4.3,3.7,5.1,3.7,4.4,5.4,5.1,5.6,4.6,5.5,3.9,4.1,4.4,4.5,6.2,5.8
Marco,Stiepermann,MID,NOR,5300000,1,15,1.5,2.83018867924528E-07,2.83018867924528E-06,0,9103,2,19,0,0,0,0,0,2.8,237,-2,0,15,2,0.2,0,1,0,0,1,0,0,0.1,5355,0,-1,0,0,643,35,0,0,52,Brighton,Watford,Everton,Arsenal,Southampton,0.8,1.3,0.8,1.2,0.9,1.4,0.8,1.2,0.8,1,1.2,0.8,1.3,0.8,0.8,0.8,0.8,0.9,1.2,0.9,1.3,0.8,1.2,0.8,0.9,0.8,1.2,0.8
John,Stones,DEF,MCI,5300000,6,14,1.4,2.64150943396226E-07,2.64150943396226E-06,0,203877,0,3,0,0,0,0,0,2.6,915,-2,0,14,2,0.3,0,1.8,0,0,2,0,0,1.3,54557,0,-1,0,0,281,10953,0,0,80,Southampton,Liverpool,Chelsea,Newcastle,Burnley,0.7,0.9,0.8,1.2,0.7,1,0.7,0.9,0.8,0.8,1.3,1,1.1,1,0.9,1,0.7,0.8,0.7,0.7,0.7,0.7,1.1,1.3,0.7,0.7,1,0.9
,Success,FWD,WAT,4800000,0,2,0.2,4.16666666666667E-08,4.16666666666667E-07,0,47745,0,1,0,0,0,0,0,0.4,566,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,15170,0,-1,0,0,34,84,0,0,5,Chelsea,Norwich,Burnley,Southampton,Leicester,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andrew,Surman,MID,BOU,4700000,0,3,0.3,6.38297872340426E-08,6.38297872340426E-07,0,3029,0,1,0,0,0,0,0,0.6,80,-3,1,3,3,0,0,0,0,0,0,0,0,0,849,0,-1,0,0,57,28,-1,0,9,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Sam,Surridge,FWD,BOU,4400000,0,0,0,0,0,0,62062,0,0,0,0,0,0,0,0,1318,-1,0,0,1,0,0,0,0,0,0,0,0,0.6,39459,0,-1,0,0,0,419,0,0,0,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Targett,DEF,AVL,4400000,1,25,2.5,5.68181818181818E-07,5.68181818181818E-06,0,58256,0,5,0,0,0,1,0,5.7,2277,-1,0,25,1,1.4,0,6.2,5,0,1,0,1,0.8,29055,0,-1,0,1,331,8560,0,0,106,Liverpool,Wolverhampton,Newcastle,Man Utd,Chelsea,2.3,1.6,3.5,1.5,1.4,2.6,2,2.1,2.8,1.9,1.2,2,1.3,3,1.2,3.1,2.1,2.4,1.4,2.4,2.3,2.2,1.7,3,3.1,1.9,2.5,1.9
James,Tarkowski,DEF,BUR,5000000,0,27,2.7,5.4E-07,5.4E-06,0,57016,2,15,0,0,0,0,0,5.4,3088,0,0,27,0,0.5,0,2.5,3,0,3,0,0,1.6,47886,0,-1,0,0,900,1725,0,0,168,Sheffield United,West Ham,Watford,Crystal Palace,Man City,2.4,3.2,2.3,3.3,2.2,2,3.8,1.4,2.3,3.3,3.7,1.7,2.9,1.8,2.7,2.6,2.2,2.7,3.3,1.8,3.3,2.1,2.6,2.2,2,2.4,1.7,2.6
Charlie,Taylor,DEF,BUR,4200000,0,1,0.1,2.38095238095238E-08,2.38095238095238E-07,0,64976,0,0,0,0,0,0,0,0.2,986,-3,0,1,3,0,0,0.2,0,0,0,0,0,0.6,8938,0,-1,0,0,35,587,0,0,5,Sheffield United,West Ham,Watford,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil,Taylor,DEF,AVL,4500000,0,16,2.3,5.11111111111111E-07,3.55555555555556E-06,0,16726,1,11,0,0,0,0,0,3.6,889,0,0,16,0,0,0,0,0,0,2,0,0,0.3,16444,0,-1,0,0,568,163,0,0,95,Liverpool,Wolverhampton,Newcastle,Man Utd,Chelsea,2.1,1.3,3.1,1.3,1.2,2.3,1.7,1.9,2.5,1.6,1.2,1.7,1.2,2.7,1.2,2.7,1.9,2.1,1.2,2.1,2,2,1.5,2.7,2.7,1.7,2.2,1.6
Alexander,Tettey,MID,NOR,4500000,2,9,0.9,2E-07,2E-06,0,11108,0,7,0,0,0,0,0,2,230,0,0,9,0,0.3,0,1.2,0,0,1,0,0,0.2,7822,0,-1,0,0,285,184,0,0,49,Brighton,Watford,Everton,Arsenal,Southampton,0.4,0.6,0.4,0.5,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.4
Youri,Tielemans,MID,LEI,6500000,11,48,4.8,7.38461538461538E-07,7.38461538461539E-06,0,297063,0,8,0,0,0,3,0,7.4,6019,0,-1,48,0,1,0,6.2,4,0,3,0,2,6.3,343775,0,-1,0,2,891,101325,1,0,194,Crystal Palace,Arsenal,Brighton,Everton,Watford,4.2,6.4,4.8,6.6,6.8,3.4,6.4,3.1,4.6,4,5,5.4,4.4,5.6,5.1,5.5,3.7,3.9,5.9,5.1,6.5,3.9,6.3,4.4,5.4,6.5,3.6,6.3
Kieran,Tierney,DEF,ARS,5400000,1,1,0.1,1.85185185185185E-08,1.85185185185185E-07,0,47179,0,2,0,0,0,0,0,0.2,1971,-1,0,1,1,0,0,0.2,0,0,0,0,0,1,57020,0,-1,0,0,74,3953,0,0,12,Wolverhampton,Leicester,Southampton,Norwich,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Tomkins,DEF,CRY,5000000,1,2,0.2,4E-08,4E-07,0,1029,0,4,0,0,0,0,0,0.4,81,0,0,2,0,0.1,0,0.5,0,0,0,0,0,0,1214,0,-1,0,0,172,195,0,0,20,Leicester,Chelsea,Liverpool,Burnley,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fikayo,Tomori,DEF,CHE,4800000,1,25,3.6,7.5E-07,5.20833333333333E-06,0,57903,2,9,0,0,0,1,0,5.2,8859,3,0,25,-3,0.8,0,3.8,3,0,2,0,0,7.1,529217,0,-1,0,1,630,29957,0,0,137,Watford,Crystal Palace,Man City,West Ham,Aston Villa,3.8,4.7,3.1,4.6,5.2,3.8,3.2,3.5,3.4,2.9,2.8,3.7,4.3,4,3,4.7,4.7,2.6,5.3,3.8,3.2,3.8,4.7,3.5,3.9,4.4,3.5,3.6
Lucas,Torreira,MID,ARS,4800000,0,13,1.3,2.70833333333333E-07,2.70833333333333E-06,0,111613,0,4,0,0,0,1,0,2.7,3078,-2,0,13,2,0.1,0,0.5,0,0,0,0,0,1.3,49866,0,-1,0,0,200,617,0,0,51,Wolverhampton,Leicester,Southampton,Norwich,Brighton,0.9,0.6,0.7,0.6,0.9,0.6,0.6,0.6,0.7,0.6,0.9,0.6,1.1,0.6,0.6,1,1,0.6,0.7,0.6,0.8,0.9,0.7,0.6,0.6,0.6,0.6,1
Cenk,Tosun,FWD,EVE,5700000,0,1,0.1,1.75438596491228E-08,1.75438596491228E-07,0,11848,0,1,0,0,0,0,0,0.2,197,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,3295,0,-1,0,0,35,29,0,0,2,Tottenham,Southampton,Norwich,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andros,Townsend,MID,CRY,5700000,2,19,1.9,3.33333333333333E-07,3.33333333333333E-06,0,171165,0,8,0,0,0,1,0,3.3,2804,-3,0,19,3,0.4,0,2.5,0,0,1,0,0,1.5,34597,0,-1,0,0,413,621,0,0,94,Leicester,Chelsea,Liverpool,Burnley,Bournemouth,1.2,1,1,1,1.8,1.2,1.8,1.1,1.4,1.4,1,1.7,1,1.3,2,1,1.9,1.1,1.9,1.3,1,1.7,1,1.2,1,1.6,1.3,1.5
Adama,Traore,MID,WOL,5100000,2,36,4,7.84313725490196E-07,7.05882352941176E-06,0,65451,0,10,0,0,0,2,0,7.1,19471,1,0,36,-1,1.1,0,5.8,6,0,2,0,1,3.8,287584,0,-1,0,1,650,21133,0,0,141,Arsenal,Aston Villa,Bournemouth,Sheffield United,West Ham,3.8,4.1,4.7,5.1,3.9,4.2,4.1,3.4,2.4,3.3,4.4,5,5.1,3,3.2,3.6,4.5,3.2,4.7,3.5,4.8,3,4.5,5.6,4.7,3.8,4.5,3.1
Mark,Travers,GLK,BOU,4300000,0,0,0,0,0,0,9177,0,0,0,0,0,0,0,0,190,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,2011,0,-1,0,0,0,122,0,0,0,Man Utd,Newcastle,Wolverhampton,Tottenham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trezeguet,MID,AVL,5300000,2,12,1.2,2.26415094339623E-07,2.26415094339623E-06,0,184122,2,9,0,0,0,0,0,2.3,2342,-2,0,12,2,0.3,0,1.8,0,0,1,0,1,1,50598,0,-1,0,0,512,1005,0,1,30,Liverpool,Wolverhampton,Newcastle,Man Utd,Chelsea,0.6,0.6,1,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.6,0.6,0.6,0.9,0.6,0.7,0.6,1,0.6,0.6,0.6,0.8,0.6,0.8,0.8,0.6,0.8,0.6
Kieran,Trippier,DEF,TOT,5500000,0,0,0,0,0,0,13802,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0.1,743,0,-1,0,0,0,40,0,0,0,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro,Trossard,MID,BHA,5800000,4,15,1.5,2.58620689655172E-07,2.58620689655172E-06,0,82054,0,7,0,0,0,1,0,2.6,271,-2,0,15,2,0.2,0,1,0,0,0,0,1,0.2,46730,0,-1,0,0,272,1555,0,0,55,Norwich,Man Utd,Leicester,Liverpool,Arsenal,1.1,0.8,0.8,0.8,0.8,1.1,0.8,1.3,0.8,1.2,0.8,0.8,1,0.9,0.8,1.2,1.3,1.1,0.9,1.1,0.8,1.1,0.8,0.8,0.8,1,1.3,0.8
Tom,Trybull,MID,NOR,4500000,0,10,1,2.22222222222222E-07,2.22222222222222E-06,0,61011,0,9,0,0,0,0,0,2.2,804,0,0,10,0,0,0,0.2,0,0,1,0,0,0.7,43576,0,-1,0,0,365,80,0,0,69,Brighton,Watford,Everton,Arsenal,Southampton,0.5,0.7,0.5,0.6,0.5,0.7,0.5,0.6,0.5,0.5,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.5
Axel,Tuanzebe,DEF,MUN,4400000,0,5,0.5,1.13636363636364E-07,1.13636363636364E-06,0,7964,0,2,0,0,0,0,0,1.1,620,-1,0,5,1,0.2,0,1,0,0,0,0,0,0.2,6561,0,-1,0,0,181,145,0,0,25,Bournemouth,Brighton,Sheffield United,Aston Villa,Tottenham,0,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Yan,Valery,DEF,SOU,4800000,-1,6,0.6,1.25E-07,1.25E-06,0,19036,1,17,0,0,0,0,0,1.2,641,-2,0,6,2,0.2,0,0.8,0,0,0,0,1,0.2,5525,0,-1,0,0,466,73,0,0,51,Man City,Everton,Arsenal,Watford,Norwich,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Vallejo,DEF,WOL,4700000,0,1,0.1,2.12765957446809E-08,2.12765957446809E-07,0,18250,1,6,0,0,0,0,0,0.2,386,-3,1,1,3,0,0,0.2,0,0,0,0,0,0.3,3775,0,-1,0,0,162,136,-1,0,22,Arsenal,Aston Villa,Bournemouth,Sheffield United,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,van Aanholt,DEF,CRY,5600000,1,41,4.1,7.32142857142857E-07,7.32142857142857E-06,0,357679,0,12,0,0,0,2,0,7.3,24215,1,0,41,-1,0.8,0,4.2,3,0,3,0,0,12.1,685825,1,-1,0,1,900,15786,0,0,169,Leicester,Chelsea,Liverpool,Burnley,Bournemouth,5.2,3.4,4.7,2.8,4.1,4.3,4.8,4.6,5.6,4.7,3.3,5,3.5,4.4,4.9,4.3,6.1,3.2,5.8,2.9,3.9,4.7,3.4,4.8,4.2,5.8,3.7,5.8
Virgil,van Dijk,DEF,LIV,6500000,2,37,3.7,5.69230769230769E-07,5.69230769230769E-06,0,1116233,0,8,0,0,0,1,0,5.7,100683,0,0,37,0,0.5,0,3.5,3,0,2,0,0,44.1,588853,0,-1,0,0,900,11262,0,0,181,Aston Villa,Man City,Crystal Palace,Brighton,Everton,0,3.1,4,3.7,5.3,3,4.6,0,3.4,3.5,3.8,3.9,4.6,3.7,3.3,3.4,4.5,4.2,3.1,4.3,4.7,3.5,5.1,3.3,3.6,3.3,3.7,4.7
Jamie,Vardy,FWD,LEI,9300000,20,74,7.4,7.95698924731183E-07,7.95698924731183E-06,0,542123,1,8,0,0,0,9,0,8,4592,3,-2,74,-3,1.1,0,10.5,13,0,3,0,2,21.8,1302375,0,-1,0,3,900,427739,2,0,262,Crystal Palace,Arsenal,Brighton,Everton,Watford,8.3,11.1,8.5,11.1,11,8.1,11.1,9.3,10.3,8.6,7.9,9.6,8.3,10.9,10.8,8.7,10.3,8.1,11.1,8.5,11,8,11.1,8.4,8.8,8.7,8.2,11.1
Michael,Verrips,GLK,SHU,4400000,0,0,0,0,0,0,1073,0,0,0,0,0,0,0,0,38,-1,0,0,1,0,0,0,0,0,0,0,0,0,356,0,-1,0,0,0,13,0,0,0,Burnley,Tottenham,Man Utd,Wolverhampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan,Vertonghen,DEF,TOT,5300000,0,12,2,3.77358490566038E-07,2.26415094339623E-06,0,161916,1,9,0,0,0,0,0,2.3,4474,-2,0,12,2,0.2,0,1.2,0,0,1,0,0,1.8,51120,0,-1,0,0,540,1232,0,0,95,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,1.4,1.7,1.4,1.3,1.1,1.6,1.1,1.7,1.6,1,1.6,1.6,1.4,2,1.3,1.4,1,1.5,1,2.1,2.1,1.4,2.6,1,1.7,1.7,1.9,1.2
Jannik,Vestergaard,DEF,SOU,5100000,-1,30,3.3,6.47058823529412E-07,5.88235294117647E-06,0,230526,1,17,0,0,0,1,0,5.9,38905,1,1,30,-1,0.1,0,0.5,6,0,2,0,0,5,507092,0,-1,0,2,753,889,-1,0,153,Man City,Everton,Arsenal,Watford,Norwich,3.3,4.1,3.1,3.4,3.1,4.4,3.3,3.9,3.3,3.5,3.5,3.2,2.4,3.7,3.7,2.5,3.9,3.9,4.1,3.2,2.7,4,2.1,4,3.4,2.6,2.8,2.6
