FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Marc,Navarro,DEF,WAT,3900000,0,0,0,0,0,0,31245,0,0,0,0,0,0,0,0,1402,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,43940,0,-1,0,0,0,738,0,0,0,Bournemouth,Tottenham,Aston Villa,Everton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfred,Ndidi,MID,LEI,5000000,6,62,3.1,6.2E-07,1.24E-05,0,338416,3,17,0,0,0,2,0,12.4,6390,0,0,62,0,0.5,0,2.6,5,0,8,0,1,2.5,380010,0,-1,0,0,1730,6367,0,0,328,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,0,0,0,2.3,2.8,1.8,2.4,2.9,2.8,3.1,2.5,2.9,2.8,2.9,3.8,2,3.2
Tanguy,Ndombele,MID,TOT,5800000,1,36,1.71428571428571,2.95566502463054E-07,6.20689655172414E-06,0,812313,2,13,0,0,0,2,0,6.2,3718,-2,0,36,2,0.1,0,0.7,2,0,1,0,1,2.4,583001,0,-1,0,0,797,105,0,0,171,Liverpool,Watford,Norwich,Man City,Aston Villa,0,0,1.2,0.9,0.9,0.9,1.3,0.9,1.4,1.1,1.4,1.4,1,1.4,0.9,0.9,0.9
Reiss,Nelson,MID,ARS,5300000,1,17,0.80952380952381,1.52740341419587E-07,3.20754716981132E-06,0,15237,1,4,0,0,0,0,0,3.2,515,-2,0,17,2,0.3,0,1.7,0,0,2,0,1,0.1,10251,0,-1,0,0,436,472,0,0,54,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Neto,MID,WOL,5000000,6,25,1.19047619047619,2.38095238095238E-07,5E-06,0,4593,2,4,0,0,0,1,0,5,647,0,0,25,0,0.4,0,2.1,0,0,0,0,2,0.1,7283,0,-1,0,0,352,2545,0,0,84,Newcastle,Southampton,Liverpool,Man Utd,Leicester,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.8,0.7,0.6,0.6,0.6
,Neves,MID,WOL,5300000,1,54,2.6,4.90566037735849E-07,1.0188679245283E-05,0,565670,4,22,0,0,0,2,0,10.2,9548,-2,0,54,2,0.4,0,2.3,4,0,4,0,1,4.8,320885,0,-1,0,1,1592,3490,0,0,260,Newcastle,Southampton,Liverpool,Man Utd,Leicester,2.7,2.4,1.6,1.6,1.8,2.2,1.4,2.4,1.6,2.6,1.4,2.5,2.7,2.5,2,2.3,1.7
Oumar,Niasse,FWD,EVE,4500000,0,1,0.0476190476190476,1.05820105820106E-08,2.22222222222222E-07,0,977,0,0,0,0,0,0,0,0.2,221,0,0,1,0,0,0,0.2,0,0,0,0,0,0,1965,0,-1,0,0,1,248,0,0,2,Brighton,West Ham,Newcastle,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edward,Nketiah,FWD,ARS,4300000,0,0,0,0,0,0,117326,0,0,0,0,0,0,0,0,1244,-2,0,0,2,0,0,0,0,0,0,0,0,0.6,48366,0,-1,0,0,0,458,0,0,0,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges-Kevin,Nkoudou,MID,TOT,5000000,0,1,1,2E-07,2E-07,0,2439,0,0,0,0,0,0,0,0.2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1688,0,-1,0,0,2,7,0,0,3,Liverpool,Watford,Norwich,Man City,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,N'Lundulu,FWD,SOU,4500000,0,0,0,0,0,0,7817,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9320,0,-1,0,0,0,87,0,0,0,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark,Noble,MID,WHU,5000000,16,62,3.6,7.2E-07,1.24E-05,0,95108,2,19,0,0,0,3,0,12.4,4265,0,0,62,0,0.8,0,4.2,5,0,6,0,2,0.7,108345,0,-1,0,2,1339,17210,0,0,253,Sheffield United,Everton,Leicester,Liverpool,Brighton,0,4,5.3,3.9,2.2,2.4,3.6,3.4,3.9,2.5,3,3.4,4.1,2.9,4.4,2.7,3.7
Will,Norris,GLK,WOL,4000000,0,0,0,0,0,0,35158,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20392,0,-1,0,0,0,530,0,0,0,Newcastle,Southampton,Liverpool,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Norwood,MID,SHU,4900000,2,57,2.7,5.51020408163265E-07,1.16326530612245E-05,0,38879,4,21,0,0,0,1,0,11.6,1328,-1,0,57,1,0.6,0,3.1,4,0,7,0,1,0.3,36332,0,-1,0,1,1743,969,0,0,341,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,2,2.3,1.4,1.9,2.6,2.5,1.6,2.3,2.2,1.8,2.1,2.3,2.5,1.8,1.7,2.6,2.6
?rjan,Nyland,GLK,AVL,4300000,1,3,0.142857142857143,3.32225913621262E-08,6.97674418604651E-07,0,10619,0,2,0,3,0,0,0,0.7,964,-2,0,3,2,0,0,0.1,0,0,0,0,0,0.2,9336,0,-1,0,0,87,5199,0,0,16,Man City,Brighton,Watford,Bournemouth,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Michael,Obafemi,FWD,SOU,4900000,1,17,0.80952380952381,1.65208940719145E-07,3.46938775510204E-06,0,19822,0,5,0,0,0,1,0,3.5,544,-1,0,17,1,0.3,0,1.4,2,0,1,0,0,0.2,11624,0,-1,0,0,270,421,0,0,49,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Pedro,Obiang,MID,WHU,4500000,0,0,0,0,0,0,5132,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,0,-1,0,0,0,6,0,0,0,Sheffield United,Everton,Leicester,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,O'Connell,DEF,SHU,4600000,1,69,3.3,7.17391304347826E-07,1.5E-05,0,114374,3,21,0,0,0,0,0,15,8903,1,0,69,-1,0.6,0,2.9,5,0,7,0,1,2.3,237834,0,-1,0,1,1890,11056,0,0,366,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,4.1,2.6,3.1,3.5,3.3,3.5,3.9,3.7,3.7,2.6,4.1,2.6,3,3.2,2.9,4.2,3.1
Angelo,Ogbonna,DEF,WHU,4500000,6,57,3.8,8.44444444444444E-07,1.26666666666667E-05,0,56654,2,18,0,0,0,2,0,12.7,6424,0,0,57,0,0.8,0,3.5,0,0,6,0,0,1.4,122292,0,-1,0,0,1350,11528,0,0,275,Sheffield United,Everton,Leicester,Liverpool,Brighton,3.6,5.1,7.7,4.4,3.7,3.9,3.4,3.1,3.8,4.2,4,4.5,3.9,3.9,4.5,3.2,5.7
Divock,Origi,FWD,LIV,5200000,1,42,2.6,5E-07,8.07692307692308E-06,0,571128,0,9,0,0,0,3,0,8.1,6325,-3,0,42,3,0.6,0,3.3,6,0,0,0,2,2.6,401822,0,-1,0,1,398,2123,0,0,153,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,2.5,3.1,4.3,2.4,3,2.4,2.2,2.5,2,2.6,2.5,2.9,2.1,2.5,2.3,2.4,1.8
,Oriol Romeu,MID,SOU,4300000,1,29,1.7,3.95348837209302E-07,6.74418604651163E-06,0,112054,2,28,0,0,0,0,0,6.7,9460,-2,0,29,2,0.2,0,0.7,0,0,2,0,0,1.6,138629,0,-1,0,0,1126,12298,0,0,176,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,0.9,1,1,0.8,1.1,1,0.9,1.2,1,1.1,1.2,0.8,1,0.9,1,1.3,1.4
Ben,Osborn,MID,SHU,4700000,0,4,0.19047619047619,4.05268490374873E-08,8.51063829787234E-07,0,2676,0,0,0,0,0,0,0,0.9,56,-3,0,4,3,0.1,0,0.3,0,0,0,0,0,0,899,0,-1,0,0,51,38,0,0,17,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nicolas,Otamendi,DEF,MCI,5000000,0,46,3.5,7E-07,9.2E-06,0,663473,3,14,0,0,0,2,0,9.2,18670,-5,0,46,5,0.6,0,2.8,2,0,3,0,1,2.4,690247,0,-1,0,1,994,2073,0,0,213,Aston Villa,Crystal Palace,Sheffield United,Tottenham,West Ham,4.3,4.4,3.3,3.8,4.4,3.2,3.2,2.9,3.3,3.6,3.6,3.4,4.7,3.4,3.6,3.2,4
Owen,Otasowie,MID,WOL,4500000,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,-1,0,0,0,30,0,0,0,Newcastle,Southampton,Liverpool,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut,Ozil,MID,ARS,7200000,3,30,1.42857142857143,1.98412698412698E-07,4.16666666666667E-06,0,133575,0,15,0,0,0,0,0,4.2,3843,-3,0,30,3,0.3,0,2.3,1,0,2,0,2,1.1,86763,0,-1,0,0,905,16264,0,0,149,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,0.7,1.2,0.7,0.7,1.1,1,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.7,0.7,0.7,1.1
Troy,Parrott,FWD,TOT,4400000,0,1,1,2.27272727272727E-07,2.27272727272727E-07,0,87441,0,0,0,0,0,0,0,0.2,1399,-1,0,1,1,0,0,0.1,0,0,0,0,0,0.8,73311,0,-1,0,0,5,630,0,0,3,Liverpool,Watford,Norwich,Man City,Aston Villa,0.5,0.5,0.9,0.6,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5
,Patricio,GLK,WOL,5200000,1,77,3.7,7.11538461538462E-07,1.48076923076923E-05,0,562436,0,27,0,54,0,0,0,14.8,22403,2,0,77,-2,0.6,0,3.3,4,0,4,0,0,10.5,864942,0,-1,2,0,1890,11952,0,0,352,Newcastle,Southampton,Liverpool,Man Utd,Leicester,5.2,3.6,4,3,3.7,4.5,4,4.3,4.4,4,4.4,3.6,3.5,5,3,4.9,3.8
Bailey,Peacock-Farrell,GLK,BUR,4400000,0,0,0,0,0,0,3207,0,0,0,0,0,0,0,0,78,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1252,0,-1,0,0,0,66,0,0,0,Chelsea,Leicester,Man Utd,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pedro,MID,CHE,6800000,0,10,0.476190476190476,7.00280112044818E-08,1.47058823529412E-06,0,264983,0,6,0,0,0,0,0,1.5,624,-2,0,10,2,0,0,0.1,0,0,1,0,0,1.2,123226,0,-1,0,0,310,215,0,0,40,Burnley,Newcastle,Arsenal,Leicester,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Nicolas,Pepe,MID,ARS,9100000,9,58,3.2,3.51648351648352E-07,6.37362637362637E-06,0,450344,2,20,0,0,0,3,0,6.4,3942,-4,0,58,4,0.4,0,3.7,5,0,2,0,3,2.4,244747,0,-1,0,1,1079,18599,0,0,197,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,2.4,4,2.4,2.8,3.7,3.4,1.8,2.8,2.6,3.3,3.1,2.8,2.5,2,2.2,2,3.7
,Pereira,DEF,LEI,6400000,6,92,4.6,7.1875E-07,1.4375E-05,0,707910,1,18,0,0,0,2,0,14.4,33649,4,0,92,-4,0.4,0,2.4,10,0,8,0,1,15.1,1309793,0,-1,0,2,1800,30458,0,0,412,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,4.4,4.4,6.3,5.2,4.5,5.1,5.2,6.8,4.9,5.7,5.5,6.4,4.3,4.9,5.1,5.6,5.9
Andreas,Pereira,MID,MUN,4900000,1,48,2.28571428571429,4.66472303206997E-07,9.79591836734694E-06,0,114732,3,14,0,0,0,1,0,9.8,2276,-1,0,48,1,0.3,0,1.7,1,0,4,0,3,0.5,117326,0,-1,0,0,1173,1123,0,0,159,Norwich,Liverpool,Burnley,Wolverhampton,Chelsea,2,1.1,2.3,2.2,1.1,2.5,1.2,1.3,1.1,2.7,1.3,2.3,1.1,2,1.1,1.8,1.1
Roberto,Pereyra,MID,WAT,5600000,1,28,1.9,3.39285714285714E-07,5E-06,0,238399,3,10,0,0,0,1,0,5,901,-4,0,28,4,0.2,0,0.9,0,0,4,0,0,0.6,24434,0,-1,0,0,872,195,0,0,88,Bournemouth,Tottenham,Aston Villa,Everton,Brighton,1.2,1.3,1,1.6,1,1,1,1,1.1,1.1,1.4,1,1.4,1.8,1,1,1.1
Ayoze,Perez,MID,LEI,6000000,13,83,4.6,7.66666666666667E-07,1.38333333333333E-05,0,1275870,0,11,0,0,0,5,0,13.8,11201,-5,0,83,5,0.6,0,3.9,6,0,6,0,5,5.4,644113,0,-1,0,3,1114,79695,0,0,238,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,5,5.1,4.7,4.3,5,3.5,4.4,5.2,5.1,5.4,4.6,5.3,5,5.3,6.2,3.8,5.6
Taylor,Perry,MID,WOL,4500000,0,0,0,0,0,0,1313,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,0,-1,0,0,0,78,0,0,0,Newcastle,Southampton,Liverpool,Man Utd,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel,Phillips,DEF,LIV,4000000,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,-1,0,0,0,67,0,0,0,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Pickford,GLK,EVE,5300000,2,66,3.1,5.84905660377358E-07,1.24528301886792E-05,0,620661,0,32,0,56,0,0,0,12.5,8451,-2,0,66,2,0.7,0,3.6,3,0,5,0,0,7.1,428909,0,-1,0,1,1890,15048,0,0,362,Brighton,West Ham,Newcastle,Watford,Crystal Palace,3.5,3.2,4.3,2.4,4,2,3.6,2.7,3.3,2.6,3,2.8,2.6,2.1,4.6,2.4,3.3
Brandon,Pierrick,MID,CRY,4500000,1,1,0.0476190476190476,1.05820105820106E-08,2.22222222222222E-07,0,60,0,0,0,0,0,0,0,0.2,20,0,0,1,0,0,0,0.2,0,0,0,0,0,0,122,0,-1,0,0,7,35,0,0,5,Arsenal,Man City,Southampton,Sheffield United,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik,Pieters,DEF,BUR,4400000,0,42,2.8,6.36363636363636E-07,9.54545454545455E-06,0,823797,1,29,0,0,0,0,0,9.5,18962,-1,0,42,1,0.3,0,1.3,7,0,3,0,3,5.2,1001561,0,-1,0,1,1233,483,0,0,226,Chelsea,Leicester,Man Utd,Arsenal,Southampton,2.4,2.4,1.9,2.4,2.3,2.7,2.8,3.4,2.2,3,2.6,2.6,2.9,2.4,2.5,2.3,2.9
Paul,Pogba,MID,MUN,8400000,0,17,0.80952380952381,9.63718820861678E-08,2.02380952380952E-06,0,720476,0,5,0,0,0,0,0,2,29928,-1,0,17,1,0,1,0.3,0,0,1,0,2,3.3,377763,0,-1,0,0,521,612,0,0,80,Norwich,Liverpool,Burnley,Wolverhampton,Chelsea,0,0,0,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Nick,Pope,GLK,BUR,4700000,2,75,3.6,7.65957446808511E-07,1.59574468085106E-05,0,593048,0,34,0,58,0,0,0,16,55898,2,0,75,-2,0.7,0,3.2,7,0,7,0,0,13.6,1076262,0,-1,0,1,1890,9044,0,0,399,Chelsea,Leicester,Man Utd,Arsenal,Southampton,3.6,3.6,2.8,3.5,3.4,3.9,4,4.8,3.3,4.3,3.8,3.7,4.1,3.5,3.6,3.5,4.2
Dennis,Praet,MID,LEI,5300000,0,26,1.23809523809524,2.33602875112309E-07,4.90566037735849E-06,0,7541,0,6,0,0,0,0,0,4.9,155,-2,0,26,2,0.3,0,1.4,0,0,1,0,2,0.1,4023,0,-1,0,0,556,69,0,0,110,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.9,0.6,0.7
Sebastian,Prodl,DEF,WAT,4000000,0,1,0.0476190476190476,1.19047619047619E-08,2.5E-07,0,97187,0,0,0,0,0,0,0,0.2,1969,0,0,1,0,0,0,0,0,0,0,0,0,1.1,48953,0,-1,0,0,56,67,0,0,3,Bournemouth,Tottenham,Aston Villa,Everton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy,Propper,MID,BHA,4900000,2,43,2.4,4.89795918367347E-07,8.77551020408163E-06,0,87740,3,25,0,0,0,1,0,8.8,782,-1,0,43,1,0.5,0,2.4,0,0,4,0,1,0.3,84504,1,-1,0,0,1620,232,0,0,250,Everton,Aston Villa,Bournemouth,West Ham,Watford,1.5,2,1.9,1.4,2.5,2.4,2.1,1.7,2.2,1.3,2.3,1.4,1.4,1.3,2.1,2.4,1.8
Teemu,Pukki,FWD,NOR,6500000,2,100,4.8,7.38461538461538E-07,1.53846153846154E-05,0,3166039,3,40,0,0,0,9,0,15.4,87839,0,0,100,0,0.6,0,3.7,16,0,3,0,3,14.5,3609151,0,-1,0,2,1867,5142,0,0,337,Man Utd,Bournemouth,Tottenham,Newcastle,Liverpool,0,0,5.7,4.4,5.2,5,5.4,4.2,6.1,6.4,5.4,6.2,5.2,6.1,5.8,6.4,5.7
Christian,Pulisic,MID,CHE,7000000,3,70,3.33333333333333,4.76190476190476E-07,1E-05,0,1663653,0,19,0,0,0,5,0,10,28697,-5,0,70,5,0.2,0,1.6,5,0,3,0,3,5.4,1404020,0,-1,0,1,1069,4645,0,0,217,Burnley,Newcastle,Arsenal,Leicester,Man Utd,0,3.2,3.3,2.5,3.4,2.8,3.4,3.4,2.4,2,2.7,3.7,2.8,4.2,3,2.3,3.3
Domingos,Quina,MID,WAT,4400000,0,3,0.142857142857143,3.24675324675325E-08,6.81818181818182E-07,0,9504,0,2,0,0,0,0,0,0.7,143,-1,0,3,1,0.1,0,0.3,0,0,0,0,0,0.1,6377,0,-1,0,0,14,46,0,0,8,Bournemouth,Tottenham,Aston Villa,Everton,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kayne,Ramsay,DEF,SOU,3900000,0,0,0,0,0,0,76632,0,0,0,0,0,0,0,0,3687,-1,0,0,1,0,0,0,0,0,0,0,0,1.6,85956,0,-1,0,0,0,3314,0,0,0,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Ramsdale,GLK,BOU,4700000,1,77,3.7,7.87234042553191E-07,1.63829787234043E-05,0,213667,0,32,0,69,0,0,0,16.4,26572,2,0,77,-2,0.7,0,3.3,10,0,4,0,1,6.1,612998,0,-1,0,3,1890,20578,0,0,391,Watford,Norwich,Brighton,Aston Villa,Sheffield United,4.4,3.7,4.3,5.5,3.5,3,3.9,3.7,4.9,3.1,5.2,3.1,4.9,3.7,3.5,3.2,4
Marcus,Rashford,FWD,MUN,9100000,2,122,5.8,6.37362637362637E-07,1.34065934065934E-05,0,2087769,2,23,0,0,0,12,0,13.4,73957,6,0,122,-6,0.7,2,6.1,23,0,4,0,5,29.3,2796171,0,-1,0,3,1818,133654,0,0,437,Norwich,Liverpool,Burnley,Wolverhampton,Chelsea,8.7,5.5,8.5,8.2,7,8.7,5.8,8.4,6.3,6.9,6.1,8.5,6.1,8,6.1,8.2,5.6
Nathan,Redmond,MID,SOU,6200000,3,50,2.6,4.19354838709677E-07,8.06451612903226E-06,0,143690,1,35,0,0,0,2,0,8.1,1689,-3,0,50,3,0.5,0,2.9,2,0,3,0,0,0.6,45270,0,-1,0,1,1608,1270,0,0,188,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,1.8,2.1,2,1.6,2.2,1.9,1.9,2.4,2,2.1,2.4,1.3,2.1,1.8,2.1,2.5,2.7
Winston,Reid,DEF,WHU,3900000,0,0,0,0,0,0,301380,0,0,0,0,0,0,0,0,9914,-1,0,0,1,0,0,0,0,0,0,0,0,4.8,286271,0,-1,0,0,0,10142,0,0,0,Sheffield United,Everton,Leicester,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declan,Rice,MID,WHU,4700000,7,46,2.3,4.8936170212766E-07,9.78723404255319E-06,0,149441,4,32,0,0,0,0,0,9.8,2716,-3,0,46,3,0.6,0,2.7,1,0,6,0,1,1.4,68563,0,-1,0,0,1800,4623,0,0,310,Sheffield United,Everton,Leicester,Liverpool,Brighton,2.3,2.1,2.5,2,1.2,1.2,1.8,1.7,2,1.2,1.4,1.7,2.1,1.4,2.3,1.3,1.9
,Richarlison,MID,EVE,8000000,7,98,4.7,5.875E-07,1.225E-05,0,1100399,4,31,0,0,0,7,0,12.2,28858,0,0,98,0,0.6,0,4.6,8,0,5,0,4,11.2,1241121,0,-1,0,1,1812,120527,0,0,304,Brighton,West Ham,Newcastle,Watford,Crystal Palace,6,3.9,6.4,4.8,5.8,4.7,6.2,4.1,4.3,4.1,4.8,3.5,5.5,4.7,5.7,5.7,6.2
Diego,Rico,DEF,BOU,4400000,-1,51,3,6.81818181818182E-07,1.15909090909091E-05,0,648642,6,22,0,0,0,0,0,11.6,51111,4,0,51,-4,0.3,0,1.3,5,0,5,0,2,14.1,1250774,0,-1,0,1,1433,16985,0,0,275,Watford,Norwich,Brighton,Aston Villa,Sheffield United,3.3,2.7,3.1,4.3,2.5,2.2,2.8,2.7,3.6,2.2,3.9,2.2,3.7,2.7,2.6,2.3,2.9
Jairo,Riedewald,MID,CRY,4500000,2,7,0.333333333333333,7.40740740740741E-08,1.55555555555556E-06,0,940,0,2,0,0,0,0,0,1.6,78,0,0,7,0,0.3,0,1.2,0,0,0,0,0,0,1238,0,-1,0,0,295,62,0,0,44,Arsenal,Man City,Southampton,Sheffield United,Everton,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Matt,Ritchie,DEF,NEW,5300000,0,8,0.380952380952381,7.18778077268643E-08,1.50943396226415E-06,0,35707,1,4,0,0,0,0,0,1.5,96,-2,0,8,2,0,0,0,0,0,1,0,0,0.1,7883,0,-1,0,0,270,119,0,0,49,Wolverhampton,Chelsea,Everton,Norwich,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Roberto,GLK,WHU,4400000,0,18,0.9,2.04545454545455E-07,4.09090909090909E-06,0,60995,0,17,0,36,0,0,0,4.1,1340,-1,0,18,1,0,0,0.2,1,0,0,0,0,0.4,65351,1,-1,0,0,686,425,0,0,134,Sheffield United,Everton,Leicester,Liverpool,Brighton,0.4,0.6,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.8
Patrick,Roberts,MID,NOR,5100000,0,3,1,1.96078431372549E-07,5.88235294117647E-07,0,7310,0,2,0,0,0,0,0,0.6,115,-4,0,3,4,0,0,0,0,0,0,0,0,0.1,1472,0,-1,0,0,24,12,0,0,12,Man Utd,Bournemouth,Tottenham,Newcastle,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,Robertson,DEF,LIV,7000000,12,98,4.9,7E-07,1.4E-05,0,1687773,0,14,0,0,0,1,0,14,24578,0,0,98,0,0.8,0,5.5,12,0,6,0,6,19.1,923746,0,-1,0,1,1723,54492,0,0,459,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,6.1,6.4,11.4,4.8,5.8,6.7,5.4,5.8,6.1,6.9,5.6,7.2,5.6,5.5,4.8,5.6,6.2
Callum,Robinson,MID,SHU,5000000,0,31,2.2,4.4E-07,6.2E-06,0,93039,1,6,0,0,0,1,0,6.2,461,-5,0,31,5,0,0,0.1,1,0,2,0,2,0.3,49468,0,-1,0,1,634,102,0,0,66,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,1.4,1.6,1.1,1.4,1.9,1.8,1.1,1.7,1.6,1.2,1.5,1.6,1.8,1.3,1.2,1.9,1.9
,Rodrigo,MID,MCI,5400000,2,52,2.7,5E-07,9.62962962962963E-06,0,187926,4,20,0,0,0,2,0,9.6,3287,-1,0,52,1,0.4,0,2,3,0,6,0,1,1.1,146640,0,-1,0,0,1432,1577,0,0,324,Aston Villa,Crystal Palace,Sheffield United,Tottenham,West Ham,1.6,2.4,3,1.6,2,1.7,2.5,1.8,2.6,1.9,1.6,2.7,2.8,2.1,2.6,2.3,2.3
Jay,Rodriguez,FWD,BUR,5700000,1,40,1.9047619047619,3.34168755221387E-07,7.01754385964912E-06,0,34392,1,23,0,0,0,3,0,7,516,-3,0,40,3,0.4,0,2.5,3,0,0,0,0,0.2,15931,0,-1,0,0,769,437,0,0,114,Chelsea,Leicester,Man Utd,Arsenal,Southampton,1.5,1.3,1.3,1.7,1.7,1.6,1,2,1.4,1.8,1.2,1.1,1.2,1,1.5,1.8,1.6
Jack,Rodwell,MID,SHU,4500000,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,-1,0,0,0,77,0,0,0,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
