FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Juan,Mata,MID,MUN,6200000,1,18,0.857142857142857,1.38248847926267E-07,2.90322580645161E-06,0,32676,1,5,0,0,0,0,0,2.9,315,-3,0,18,3,0.1,0,0.6,0,0,2,0,0,0.3,13393,0,-1,0,0,426,160,0,0,70,Norwich,Liverpool,Burnley,Wolverhampton,Chelsea,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.4
Nemanja,Matic,MID,MUN,4800000,2,11,0.523809523809524,1.09126984126984E-07,2.29166666666667E-06,0,40609,0,3,0,0,0,0,0,2.3,272,-2,0,11,2,0.1,0,0.7,0,0,2,0,0,0.3,12556,0,-1,0,0,328,283,0,0,54,Norwich,Liverpool,Burnley,Wolverhampton,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Joel,Matip,DEF,LIV,5200000,0,32,1.6,3.07692307692308E-07,6.15384615384615E-06,0,486987,0,5,0,0,0,1,0,6.2,1645,-3,0,32,3,0,0,0,4,0,2,0,0,1.2,443787,0,-1,0,0,630,51,0,0,141,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,0,0,0,0,0,1.4,0.9,1,1.1,1.4,1,1.8,1,0.9,0.8,1,1.3
,Matthew Longstaff,MID,NEW,4500000,0,21,1,2.22222222222222E-07,4.66666666666667E-06,0,31412,0,6,0,0,0,2,0,4.7,1294,0,0,21,0,0.2,0,1,2,0,1,0,0,0.2,44244,0,-1,0,1,359,408,0,0,73,Wolverhampton,Chelsea,Everton,Norwich,Arsenal,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Neal,Maupay,FWD,BHA,5800000,1,79,3.8,6.55172413793103E-07,1.36206896551724E-05,0,248125,2,21,0,0,0,7,0,13.6,18141,-2,0,79,2,0.8,0,4.6,12,0,5,0,1,2.2,365846,0,-1,0,1,1536,21237,0,0,227,Everton,Aston Villa,Bournemouth,West Ham,Watford,3.4,5.1,3.8,3.7,4.9,2.9,4.7,3.6,4.7,3.3,5.3,4.6,3.7,4.6,4.6,4.2,3.8
Konstantinos,Mavropanos,DEF,ARS,4400000,0,0,0,0,0,0,4401,0,0,0,0,0,0,0,0,72,-1,0,0,1,0,0,0,0,0,0,0,0,0,1012,0,-1,0,0,0,74,0,0,0,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McArthur,MID,CRY,5200000,2,55,2.8,5.38461538461538E-07,1.05769230769231E-05,0,106970,3,16,0,0,0,0,0,10.6,2293,-3,0,55,3,0.4,0,2,2,0,7,0,3,0.7,36623,0,-1,0,0,1732,446,0,0,240,Arsenal,Man City,Southampton,Sheffield United,Everton,2.9,1.4,2.5,3.4,1.9,3.1,2,3.2,2.3,1.5,2.9,1.6,2.1,1.5,2.9,2.2,2.4
Oliver,McBurnie,FWD,SHU,5700000,1,40,1.9047619047619,3.34168755221387E-07,7.01754385964912E-06,0,23152,2,11,0,0,0,3,0,7,669,-3,0,40,3,0.4,0,2.3,3,0,4,0,0,0.1,20249,0,-1,0,0,806,769,0,0,138,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,1.5,1.4,1.6,1.3,1.6,1.5,1.3,2.2,1.1,1.4,1.9,1.3,1.5,1.5,1.1,1.6,1.8
Alex,McCarthy,GLK,SOU,4300000,8,34,3.1,7.2093023255814E-07,7.90697674418605E-06,0,50005,0,13,0,33,0,0,0,7.9,5622,-2,0,34,2,0.9,0,3.9,1,0,2,0,0,1.4,100468,0,-1,0,0,990,37374,0,0,185,Leicester,Wolverhampton,Crystal Palace,Liverpool,Burnley,2.9,2.4,3.5,3.2,2.5,4.2,3.8,3.7,3.2,2.3,2.9,2.5,3.4,2.7,2.9,3,2.5
James,McCarthy,MID,CRY,4400000,2,17,0.80952380952381,1.83982683982684E-07,3.86363636363636E-06,0,54352,3,8,0,0,0,0,0,3.9,1263,-1,0,17,1,0.3,0,1.5,0,0,0,0,0,0.6,41673,0,-1,0,0,529,511,0,0,75,Arsenal,Man City,Southampton,Sheffield United,Everton,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
