FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Oliver,McBurnie,FWD,SHU,5900000,1,16,2,3.38983050847458E-07,2.71186440677966E-06,0,10563,2,4,0,0,0,1,0,2.7,420,-1,0,16,1,0.3,0,1.8,1,0,3,0,0,0.2,8983,0,-1,0,0,457,132,0,0,54,Arsenal,West Ham,Burnley,Tottenham,Man Utd,1.3,1.6,1.4,1.8,1.9,1.5,1.1,2.4,1.4,1.6,2,2,1.6,1.1,1.6,1.2,1.3,1.5,1.2,1.6,2.7,1.4,1.5,1.8,1.4,1,1.6,1.4,1.6,2.2
Alex,McCarthy,GLK,SOU,4300000,0,0,0,0,0,0,22988,0,0,0,0,0,0,0,0,293,-2,1,0,2,0,0,0,0,0,0,0,0,0.4,2230,0,-1,0,0,0,37,-1,0,0,Wolverhampton,Leicester,Man City,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,CRY,4400000,2,6,0.75,1.70454545454545E-07,1.36363636363636E-06,0,29645,1,3,0,0,0,0,0,1.4,692,-1,0,6,1,0.3,0,1.2,0,0,0,0,0,0.6,23391,0,-1,0,0,139,1017,0,0,26,Man City,Arsenal,Leicester,Chelsea,Liverpool,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4
John,McGinn,MID,AVL,5800000,1,39,4.9,8.44827586206897E-07,6.72413793103448E-06,0,293055,1,12,0,0,0,3,0,6.7,12256,3,0,39,-3,0.9,0,5.5,4,0,2,0,1,11.8,879919,0,-1,0,0,720,32726,0,0,141,Brighton,Man City,Liverpool,Wolverhampton,Newcastle,6.6,3.3,4.5,5.4,6.7,3.6,3.9,6.3,6.8,5.6,7,5.3,4.4,3.8,5,7.1,5.6,5.9,5.8,6.4,3.5,5.3,5.1,6.3,3.9,7,7.1,4.5,6.2,4.3
David,McGoldrick,FWD,SHU,5400000,0,8,1.6,2.96296296296296E-07,1.48148148148148E-06,0,26750,0,3,0,0,0,0,0,1.5,479,-1,0,8,1,0.1,0,0.5,0,0,1,0,0,0.2,20546,0,-1,0,0,320,9,0,0,7,Arsenal,West Ham,Burnley,Tottenham,Man Utd,0.9,1.1,1,1.3,1.3,1,0.8,1.7,1,1.1,1.4,1.4,1.1,0.8,1.1,0.8,0.9,1.1,0.8,1.1,2,1,1,1.3,1,0.8,1.1,0.9,1.1,1.6
Michael,McGovern,GLK,NOR,4000000,9,11,1.375,3.4375E-07,2.75E-06,0,75856,0,6,0,7,0,0,0,2.8,1556,0,0,11,0,0.7,0,2.8,2,0,0,0,0,5.7,133632,0,-1,1,0,158,12667,0,0,46,Bournemouth,Man Utd,Brighton,Watford,Everton,0.7,1.6,0.7,1.3,0.7,0.9,0.7,1,0.7,0.9,0.7,1.3,1.5,0.7,0.7,0.7,0.8,0.8,0.7,1.4,0.8,0.8,1.5,0.7,1,0.7,1.1,0.7,1,0.7
Kenny,McLean,MID,NOR,4900000,2,16,2,4.08163265306122E-07,3.26530612244898E-06,0,8541,1,15,0,0,0,1,0,3.3,320,-1,0,16,1,0.6,0,3,0,0,0,0,0,0.2,7935,0,-1,0,0,471,137,0,0,102,Bournemouth,Man Utd,Brighton,Watford,Everton,1.1,2.2,1,2.2,1,1.8,1.2,2.1,1,1.9,1,1.7,2.2,1,2.2,1,1,1.2,1.1,1.8,1.8,1.5,2.1,1,2,1,1.5,1,2.1,1
Dwight,McNeil,MID,BUR,6000000,3,29,3.6,6E-07,4.83333333333333E-06,0,31580,0,8,0,0,0,0,0,4.8,908,0,0,29,0,0.5,0,3.2,0,0,4,0,3,0.4,32572,0,-1,0,0,696,563,0,0,111,Leicester,Chelsea,Sheffield United,West Ham,Watford,1.9,3.4,4.6,3.6,3.1,4.9,2.4,2,4.5,3.4,2.6,4.7,3.7,2.2,4.2,2,4.1,3.5,4.7,3,3.9,1.8,4.8,2.3,4.6,2.5,2.2,4.2,2.2,4.5
Scott,McTominay,MID,MUN,5000000,1,30,3.8,7.6E-07,6E-06,0,67896,1,7,0,0,0,1,0,6,4199,0,0,30,0,0.8,0,3.8,5,0,2,0,1,2,144514,0,-1,0,0,705,5756,0,0,116,Liverpool,Norwich,Bournemouth,Brighton,Sheffield United,3.3,2,3.2,5,4.5,4.3,4.5,1.9,5.2,2.9,5.1,2.3,2.4,5.3,2,5.2,4.8,2,5.4,2.4,2.8,1.9,5.2,2.7,5.3,1.9,4.2,2.1,4.1,1.9
Ben,Mee,DEF,BUR,5000000,6,25,3.1,6.2E-07,5E-06,0,27544,0,9,0,0,0,0,0,5,522,0,0,25,0,0.8,0,3.8,0,0,3,0,0,1,31989,0,-1,0,0,720,1259,0,0,123,Leicester,Chelsea,Sheffield United,West Ham,Watford,2.2,3,3.4,3.6,2.5,4.5,2.6,2.3,4.5,1.6,2.8,4.5,4.1,2,4.2,2.2,3.2,2.8,2.6,3.3,4.1,2.1,3.9,2.3,3.4,2.7,2.3,3,1.7,3.3
